;Nombre;% Inscrits;% Votants
Inscrits;95 799;;
Abstentions;36 907;38,53;
Votants;58 892;61,47;
Blancs ou nuls;1 579;1,65;2,68
Exprimés;57 313;59,83;97,32
Liste des candidats;Voix;% Inscrits;% Exprimés;Elu(e)
SOC;M. Guy VOCANSON;20 662;21,56;36,05;
UMP;M. Laurent WAUQUIEZ;36 651;38,25;63,95;oui
;Nombre;% Inscrits;% Votants
Inscrits;95 803;;
Abstentions;32 776;34,21;
Votants;63 027;65,79;
Blancs ou nuls;871;0,91;1,38
Exprimés;62 156;64,88;98,62
Liste des candidats;Voix;% Inscrits;% Exprimés;Elu(e)
EXG;Mme Claudette BALLEYDIER;205;0,21;0,33;
REG;M. Gustave ALIROL;3 895;4,06;6,27;
ECO;M. Philippe COCHET;262;0,27;0,42;
CEN;Mme Anne-Audrey PERRIN-PATURAL;542;0,56;0,87;
SOC;M. Guy VOCANSON;14 569;15,20;23,44;
ECO;M. Lucien SEYTRE;336;0,35;0,54;
AUT;M. Edouard DUCRAY;380;0,39;0,61;
FN;M. Pierre CHEYNET;7 257;7,57;11,68;
ECO;M. Christophe MEZZASOMA;274;0,28;0,44;
UMP;M. Laurent WAUQUIEZ;30 916;32,27;49,74;
FG;M. Yves PRAT;2 943;3,07;4,73;
AUT;M. Philippe ROCHE;280;0,29;0,45;
EXG;M. Max CHAMBON;297;0,31;0,48;
