Nuances;EXG;FG;SOC;RDG;DVG;VEC;REG;ECO;AUT;CEN;ALLI;PRV;NCE;UMP;DVD;FN;EXD
Nombre de sièges;0;10;280;12;22;17;2;0;0;2;2;6;12;194;15;2;1
;Nombre;% Inscrits;% Votants
Inscrits;43 233 648;;
Abstentions;19 281 162;44,60;
Votants;23 952 486;55,40;
Blancs ou nuls;923 178;2,14;3,85
Exprimés;23 029 308;53,27;96,15
Nuances;Voix;% Exprimés;Nombre d'élus
FG;Front de gauche;249 498;1,08;10
SOC;Socialiste;9 420 889;40,91;258
RDG;Radical de Gauche;538 331;2,34;11
DVG;Divers gauche;709 395;3,08;21
VEC;Europe-Ecologie-Les Verts;829 036;3,60;16
REG;Régionaliste;135 312;0,59;2
CEN;Le Centre pour la France;113 196;0,49;2
ALLI;Alliance centriste;123 132;0,53;2
PRV;Parti radical;311 199;1,35;6
NCE;Nouveau Centre;568 319;2,47;11
UMP;Union pour un Mouvement Populaire;8 740 628;37,95;185
DVD;Divers droite;417 940;1,81;14
FN;Front National;842 695;3,66;2
EXD;Extrême droite;29 738;0,13;1
;Nombre;% Inscrits;% Votants
Inscrits;46 082 104;;
Abstentions;19 712 978;42,78;
Votants;26 369 126;57,22;
Blancs ou nuls;416 267;0,90;1,58
Exprimés;25 952 859;56,32;98,42
Nuances;Voix;% Exprimés;Nombre d'élus
EXG;Extrême gauche;253 386;0,98;
FG;Front de gauche;1 793 192;6,91;
SOC;Socialiste;7 618 326;29,35;22
RDG;Radical de Gauche;428 898;1,65;1
DVG;Divers gauche;881 555;3,40;1
VEC;Europe-Ecologie-Les Verts;1 418 264;5,46;1
REG;Régionaliste;145 809;0,56;
ECO;Ecologiste;249 068;0,96;
AUT;Autres;133 752;0,52;
CEN;Le Centre pour la France;458 098;1,77;
ALLI;Alliance centriste;156 026;0,60;
PRV;Parti radical;321 124;1,24;
NCE;Nouveau Centre;569 897;2,20;1
UMP;Union pour un Mouvement Populaire;7 037 268;27,12;9
DVD;Divers droite;910 034;3,51;1
FN;Front National;3 528 663;13,60;
EXD;Extrême droite;49 499;0,19;
