Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
M. Jean-Pierre VIGIER;LR;22 306;28,07;63,89;Oui
M. Pierre ETEOCLE;REM;12 606;15,86;36,11;Non
;Nombre;% Inscrits;% Votants
Inscrits;79 462;;
Abstentions;40 923;51,50;
Votants;38 539;48,50;
Blancs;2 507;3,15;6,51
Nuls;1 120;1,41;2,91
Exprimés;34 912;43,94;90,59
Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
M. Jean-Pierre VIGIER;LR;16 958;21,34;40,90;Ballotage**
M. Pierre ETEOCLE;REM;11 382;14,32;27,45;Ballotage**
M. Lionel BOUTON;FI;4 759;5,99;11,48;Non
Mme Aurore ARNAUD;FN;3 437;4,33;8,29;Non
Mme Josiane MIALON;SOC;1 625;2,04;3,92;Non
Mme Marie-Laure BUSSELOT;ECO;1 323;1,66;3,19;Non
Mme Michelle CHAUMET;COM;785;0,99;1,89;Non
M. Alexis MONJAUZE;DVD;414;0,52;1,00;Non
M. Renaud MAUCHET;EXD;312;0,39;0,75;Non
Mme Françoise SARRET;DIV;253;0,32;0,61;Non
M. Georges FRIDLENDER;EXG;213;0,27;0,51;Non
;Nombre;% Inscrits;% Votants
Inscrits;79 463;;
Abstentions;37 055;46,63;
Votants;42 408;53,37;
Blancs;641;0,81;1,51
Nuls;306;0,39;0,72
Exprimés;41 461;52,18;97,77
