Nuances de Candidats;Nb Sieges
Extrême gauche;0
Parti communiste français;10
La France insoumise;17
Parti socialiste;30
Parti radical de gauche;3
Divers gauche;12
Ecologiste;1
Divers;3
Régionaliste;5
La République en marche;308
Modem;42
Union des Démocrates et Indépendants;18
Les Républicains;112
Divers droite;6
Debout la France;1
Front National;8
Extrême droite;1
Nuances de Candidats;Voix;% Inscrits;% Exprimés;Nb Sieges
Parti communiste français;217 833;0,46;1,20;10
La France insoumise;883 573;1,87;4,86;17
Parti socialiste;1 032 842;2,18;5,68;30
Parti radical de gauche;64 860;0,14;0,36;3
Divers gauche;263 488;0,56;1,45;11
Ecologiste;23 197;0,05;0,13;1
Divers;100 574;0,21;0,55;3
Régionaliste;137 490;0,29;0,76;5
La République en marche;7 826 245;16,55;43,06;306
Modem;1 100 656;2,33;6,06;42
Union des Démocrates et Indépendants;551 784;1,17;3,04;17
Les Républicains;4 040 203;8,54;22,23;112
Divers droite;306 074;0,65;1,68;6
Debout la France;17 344;0,04;0,10;1
Front National;1 590 869;3,36;8,75;8
Extrême droite;19 034;0,04;0,10;1
;Nombre;% Inscrits;% Votants
Inscrits;47 293 103;;
Abstentions;27 128 488;57,36;
Votants;20 164 615;42,64;
Blancs;1 409 784;2,98;6,99
Nuls;578 765;1,22;2,87
Exprimés;18 176 066;38,43;90,14
Nuances de Candidats;Voix;% Inscrits;% Exprimés;Nb Sieges
Extrême gauche;175 214;0,37;0,77;
Parti communiste français;615 487;1,29;2,72;
La France insoumise;2 497 622;5,25;11,03;
Parti socialiste;1 685 677;3,54;7,44;
Parti radical de gauche;106 311;0,22;0,47;
Divers gauche;362 281;0,76;1,60;1
Ecologiste;973 527;2,05;4,30;
Divers;500 309;1,05;2,21;
Régionaliste;204 049;0,43;0,90;
La République en marche;6 391 269;13,44;28,21;2
Modem;932 227;1,96;4,12;
Union des Démocrates et Indépendants;687 225;1,44;3,03;1
Les Républicains;3 573 427;7,51;15,77;
Divers droite;625 345;1,31;2,76;
Debout la France;265 420;0,56;1,17;
Front National;2 990 454;6,29;13,20;
Extrême droite;68 320;0,14;0,30;
;Nombre;% Inscrits;% Votants
Inscrits;47 570 988;;
Abstentions;24 403 480;51,30;
Votants;23 167 508;48,70;
Blancs;357 018;0,75;1,54
Nuls;156 326;0,33;0,67
Exprimés;22 654 164;47,62;97,78
