Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
Mme Isabelle VALENTIN;LR;32 478;31,97;70,22;Oui
Mme Celline GACON;NUP;13 773;13,56;29,78;Non
;Nombre;% Inscrits;% Votants
Inscrits;101 598;;
Abstentions;52 841;52,01;
Votants;48 757;47,99;
Blancs;1 752;1,72;3,59
Nuls;754;0,74;1,55
Exprimés;46 251;45,52;94,86
Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
Mme Isabelle VALENTIN;LR;23 714;23,34;45,26;Ballotage*
Mme Celline GACON;NUP;9 933;9,78;18,96;Ballotage*
Mme Cécile GALLIEN;ENS;7 459;7,34;14,24;Non
Mme Suzanne FOURETS;RN;7 458;7,34;14,23;Non
Mme Emmanuelle POUMEAU DE LAFFOREST;REC;1 368;1,35;2,61;Non
M. Dominique SAMARD;ECO;1 283;1,26;2,45;Non
Mme Virginie LEGER-PORTAL;ECO;663;0,65;1,27;Non
Mme Electre DRACOS;DXG;517;0,51;0,99;Non
;Nombre;% Inscrits;% Votants
Inscrits;101 606;;
Abstentions;48 317;47,55;
Votants;53 289;52,45;
Blancs;649;0,64;1,22
Nuls;245;0,24;0,46
Exprimés;52 395;51,57;98,32
