Liste des candidats;Nuance;Voix;% Inscrits;% Exprimés;Elu(e)
M. Jean-Pierre VIGIER;LR;34 629;43,62;64,53;OUI
Mme Suzanne Maryse Denise FOURETS;RN;19 033;23,97;35,47;NON
;Nombre;% Inscrits;% Votants
Inscrits;79 392;;
Abstentions;23 160;29,17;
Votants;56 232;70,83;
Blancs;1 867;2,35;3,32
Nuls;703;0,89;1,25
Exprimés;53 662;67,59;95,43
Liste des candidats;Nuance;Voix;% Inscrits;% Exprimés;Elu(e)
M. Jean-Pierre VIGIER;LR;21 573;27,17;38,69;QUALIF T2
Mme Suzanne Maryse Denise FOURETS;RN;17 885;22,53;32,08;QUALIF T2
M. Andre Antoine Célestin CHAPAVEIRE;UG;10 898;13,73;19,55;QUALIF T2
Mme Patricia Pierrette GIRE-JOUBERT;ENS;4 607;5,80;8,26;NON
M. Antoine BREBION;EXG;795;1,00;1,43;NON
;Nombre;% Inscrits;% Votants
Inscrits;79 390;;
Abstentions;22 317;28,11;
Votants;57 073;71,89;
Blancs;834;1,05;1,46
Nuls;481;0,61;0,84
Exprimés;55 758;70,23;97,70
