Nuances de candidats;Nombre de sièges
EXG Extrême gauche;0
COM Parti communiste français;0
FI La France insoumise;0
SOC Parti socialiste;2
RDG Parti radical de gauche;0
VEC Les Ecologistes;0
DVG Divers gauche;12
UG Union de la gauche;178
ECO Ecologistes;1
REG Régionaliste;9
DIV Divers;1
REN Renaissance;0
MDM Modem;0
HOR Horizons;6
INCONNUE;ENS Ensemble ! (Majorité présidentielle);150
DVC Divers centre;6
UDI Union des Démocrates et Indépendants;3
LR Les Républicains;39
DVD Divers droite;27
DSV Droite souverainiste;0
RN Rassemblement National;125
REC Reconquête !;0
UXD Union de l'extrême droite;17
EXD Extrême droite;1
Liste des nuances;Voix;% Inscrits;% Exprimés;Sièges
RN Rassemblement National;8 744 080;20,18;32,05;88
UG Union de la gauche;7 004 725;16,17;25,68;146
INCONNUE;ENS Ensemble ! (Majorité présidentielle);6 313 808;14,57;23,14;148
LR Les Républicains;1 474 650;3,40;5,41;38
UXD Union de l'extrême droite;1 364 964;3,15;5,00;16
DVD Divers droite;980 818;2,26;3,60;25
DVG Divers gauche;401 063;0,93;1,47;12
REG Régionaliste;288 202;0,67;1,06;9
HOR Horizons;258 139;0,60;0,95;6
DVC Divers centre;177 167;0,41;0,65;6
UDI Union des Démocrates et Indépendants;119 672;0,28;0,44;3
DIV Divers;38 025;0,09;0,14;1
ECO Ecologistes;37 808;0,09;0,14;1
SOC Parti socialiste;26 343;0,06;0,10;2
EXD Extrême droite;23 217;0,05;0,09;0
DSV Droite souverainiste;18 672;0,04;0,07;0
FI La France insoumise;8 361;0,02;0,03;0
;Nombre;% Inscrits;% Votants
Inscrits;43 328 508;;
Abstentions;14 460 749;33,37;
Votants;28 867 759;66,63;
Blancs;1 195 089;2,76;4,14
Nuls;392 957;0,91;1,36
Exprimés;27 279 713;62,96;94,50
Liste des nuances;Voix;% Inscrits;% Exprimés;Sièges
RN Rassemblement National;9 379 092;19,01;29,26;37
UG Union de la gauche;8 995 226;18,23;28,06;32
INCONNUE;ENS Ensemble ! (Majorité présidentielle);6 425 707;13,03;20,04;2
LR Les Républicains;2 106 166;4,27;6,57;1
UXD Union de l'extrême droite;1 268 822;2,57;3,96;1
DVD Divers droite;1 154 785;2,34;3,60;2
DVG Divers gauche;490 898;1,00;1,53;0
DVC Divers centre;391 423;0,79;1,22;0
EXG Extrême gauche;366 594;0,74;1,14;0
REG Régionaliste;310 727;0,63;0,97;0
REC Reconquête !;238 934;0,48;0,75;0
HOR Horizons;231 667;0,47;0,72;0
ECO Ecologistes;182 478;0,37;0,57;0
UDI Union des Démocrates et Indépendants;163 072;0,33;0,51;0
DIV Divers;142 871;0,29;0,45;0
DSV Droite souverainiste;90 110;0,18;0,28;0
EXD Extrême droite;59 679;0,12;0,19;1
SOC Parti socialiste;29 242;0,06;0,09;0
RDG Parti radical de gauche;12 434;0,03;0,04;0
FI La France insoumise;12 224;0,02;0,04;0
COM Parti communiste français;3 125;0,01;0,01;0
VEC Les Ecologistes;2 668;0,01;0,01;0
;Nombre;% Inscrits;% Votants
Inscrits;49 332 709;;
Abstentions;16 424 052;33,29;
Votants;32 908 657;66,71;
Blancs;582 908;1,18;1,77
Nuls;267 803;0,54;0,81
Exprimés;32 057 946;64,98;97,41
