;Nombre;% Inscrits;% Votants
Inscrits;46 066 307;;
Abstentions;9 049 998;19,65;
Votants;37 016 309;80,35;
Blancs ou nuls;2 154 956;4,68;5,82
Exprimés;34 861 353;75,68;94,18
Liste des candidats;Voix;% Exprimés
M. François HOLLANDE;18 000 668;51,64
M. Nicolas SARKOZY;16 860 685;48,36
;Nombre;% Inscrits;% Votants
Inscrits;46 028 542;;
Abstentions;9 444 143;20,52;
Votants;36 584 399;79,48;
Blancs ou nuls;701 190;1,52;1,92
Exprimés;35 883 209;77,96;98,08
Liste des candidats;Voix;% Exprimés
Mme Eva JOLY;828 345;2,31
Mme Marine LE PEN;6 421 426;17,90
M. Nicolas SARKOZY;9 753 629;27,18
M. Jean-Luc MÉLENCHON;3 984 822;11,10
M. Philippe POUTOU;411 160;1,15
Mme Nathalie ARTHAUD;202 548;0,56
M. Jacques CHEMINADE;89 545;0,25
M. François BAYROU;3 275 122;9,13
M. Nicolas DUPONT-AIGNAN;643 907;1,79
M. François HOLLANDE;10 272 705;28,63
